Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
5214;15;9;2012;5;49;43;37;39;4
5215;18;9;2012;43;40;41;47;24;36
5216;20;9;2012;40;23;20;15;17;9
5217;22;9;2012;37;32;11;22;13;28
5218;25;9;2012;9;24;44;47;14;4
5219;27;9;2012;18;7;31;27;24;40
5220;29;9;2012;27;39;38;11;5;45
5221;2;10;2012;28;1;38;23;12;35
5222;4;10;2012;1;13;16;24;10;26
5223;6;10;2012;38;8;31;15;11;4
5224;9;10;2012;5;3;17;34;16;2
5225;11;10;2012;29;47;37;30;23;20
5226;13;10;2012;32;13;36;3;14;8
5227;16;10;2012;18;34;31;27;40;16
5228;18;10;2012;44;8;35;34;2;17
5229;20;10;2012;6;1;38;11;20;3
5230;23;10;2012;7;29;17;30;45;41
5231;25;10;2012;44;18;36;4;49;40
5232;27;10;2012;28;30;36;23;27;29
5233;30;10;2012;15;14;1;40;19;41
5234;1;11;2012;34;23;35;10;36;43
5235;3;11;2012;27;39;6;23;21;44
5236;6;11;2012;20;27;30;28;7;16
5237;8;11;2012;24;41;32;44;18;45
5238;10;11;2012;16;41;20;34;30;9
5239;13;11;2012;1;33;49;45;11;21
5240;15;11;2012;8;12;35;22;28;10
5241;17;11;2012;25;6;12;29;43;2
5242;20;11;2012;37;3;2;45;35;22
5243;22;11;2012;27;9;46;12;48;22
5244;24;11;2012;15;1;12;30;44;41
5245;27;11;2012;12;33;10;42;8;47
5246;29;11;2012;40;43;12;28;19;20
5247;1;12;2012;27;42;2;33;10;47
5248;4;12;2012;41;40;36;39;48;25
5249;6;12;2012;7;12;19;29;37;30
5250;8;12;2012;35;24;9;49;40;46
5251;11;12;2012;27;26;3;12;38;25
5252;13;12;2012;33;7;23;28;32;22
5253;15;12;2012;48;32;9;37;18;40
5254;18;12;2012;40;3;14;43;29;6
5255;20;12;2012;21;49;20;27;43;31
5256;22;12;2012;29;7;20;11;42;47
5257;25;12;2012;10;38;23;21;11;44
5258;27;12;2012;19;1;18;44;43;40
5259;29;12;2012;31;42;26;43;24;45
5260;1;1;2013;47;27;33;4;34;15
5261;3;1;2013;9;19;10;7;37;38
5262;5;1;2013;38;2;19;1;30;43
5263;8;1;2013;22;44;36;34;31;18
5264;10;1;2013;40;17;43;15;35;24
5265;12;1;2013;1;20;12;17;16;10
