Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5
1;31;3;1976;28;38;13;29;2
2;28;4;1976;36;31;42;48;37
3;12;5;1976;3;9;46;28;33
4;9;6;1976;2;49;43;12;38
5;28;7;1976;22;41;23;29;10
6;25;8;1976;41;7;22;30;16
7;1;9;1976;45;43;39;15;6
8;8;9;1976;33;4;35;21;10
9;15;9;1976;46;2;25;27;48
10;22;9;1976;23;32;35;29;44
11;29;9;1976;39;1;37;45;7
12;6;10;1976;42;45;31;6;47
13;13;10;1976;8;39;27;41;19
14;20;10;1976;46;37;10;31;25
15;27;10;1976;41;42;48;39;23
16;3;11;1976;5;29;16;12;28
17;10;11;1976;37;11;31;5;35
18;17;11;1976;9;23;35;12;46
19;24;11;1976;8;23;12;42;19
20;1;12;1976;29;34;30;20;31
21;8;12;1976;9;32;5;38;2
22;15;12;1976;13;19;9;16;27
23;22;12;1976;21;32;15;34;38
24;29;12;1976;2;38;23;26;28
25;5;1;1977;37;6;1;16;38
26;12;1;1977;7;20;44;5;8
27;19;1;1977;17;6;47;9;11
28;26;1;1977;46;15;16;44;34
29;2;2;1977;42;37;38;13;9
30;9;2;1977;43;21;35;26;24
31;16;2;1977;24;23;14;34;4
32;23;2;1977;27;26;20;39;2
33;2;3;1977;22;12;16;14;19
34;9;3;1977;35;48;18;21;43
35;16;3;1977;27;35;43;15;2
36;23;3;1977;29;2;38;11;13
37;30;3;1977;2;26;21;10;30
38;6;4;1977;33;32;16;4;28
39;13;4;1977;31;35;8;5;2
40;20;4;1977;45;29;11;15;49
41;27;4;1977;3;1;11;9;42
42;4;5;1977;4;10;23;22;43
43;11;5;1977;43;24;25;20;19
44;18;5;1977;11;35;32;39;14
45;25;5;1977;42;32;28;14;49
46;1;6;1977;6;8;34;3;31
47;8;6;1977;6;19;41;2;18
48;15;6;1977;13;11;41;1;25
49;22;6;1977;37;46;42;24;17
50;29;6;1977;21;13;16;30;7
51;6;7;1977;26;22;28;31;38
52;13;7;1977;8;27;42;13;39
53;20;7;1977;28;35;47;3;42
54;27;7;1977;45;12;28;34;25
55;3;8;1977;32;30;27;36;6
56;10;8;1977;27;31;19;37;21
57;17;8;1977;15;4;41;26;25
58;24;8;1977;44;5;6;33;42
59;31;8;1977;41;42;12;28;48
60;7;9;1977;40;46;5;18;10
61;14;9;1977;26;39;16;37;11
62;21;9;1977;17;46;38;23;25
63;28;9;1977;25;7;8;23;16
64;5;10;1977;2;15;30;7;8
65;12;10;1977;7;28;40;18;20
66;19;10;1977;16;13;7;48;23
67;26;10;1977;37;4;36;35;14
68;2;11;1977;20;45;3;32;34
69;9;11;1977;36;21;43;30;13
70;16;11;1977;19;28;15;35;22
71;23;11;1977;45;29;9;30;42
72;30;11;1977;12;23;26;21;32
73;7;12;1977;28;31;48;8;4
74;14;12;1977;37;18;48;19;13
75;21;12;1977;49;19;31;44;8
76;28;12;1977;19;14;21;32;46
77;4;1;1978;5;16;45;30;19
78;11;1;1978;35;46;47;7;23
79;18;1;1978;33;34;8;4;49
80;25;1;1978;29;49;33;10;12
81;1;2;1978;27;30;2;13;41
82;8;2;1978;10;36;25;47;35
83;15;2;1978;28;12;13;17;8
84;22;2;1978;27;10;26;48;36
85;1;3;1978;21;32;19;27;38
86;8;3;1978;27;7;39;3;31
87;15;3;1978;24;37;16;11;8
88;22;3;1978;20;30;44;17;27
89;29;3;1978;19;30;29;28;22
90;5;4;1978;1;47;11;12;2
91;12;4;1978;7;6;26;29;31
92;19;4;1978;31;27;35;46;24
93;26;4;1978;18;2;23;44;26
94;3;5;1978;13;49;29;22;23
95;10;5;1978;16;5;17;23;9
96;17;5;1978;46;23;16;6;37
97;24;5;1978;25;45;37;13;44
98;31;5;1978;36;15;10;4;29
99;7;6;1978;28;44;11;4;39
100;14;6;1978;25;18;33;4;16
101;21;6;1978;22;15;40;26;1
102;28;6;1978;31;38;6;14;35
103;5;7;1978;17;46;47;42;21
104;12;7;1978;46;27;17;44;26
105;19;7;1978;44;20;25;16;23
106;26;7;1978;14;17;23;38;11
107;2;8;1978;13;44;31;12;16
108;9;8;1978;2;39;1;4;27
109;16;8;1978;19;33;16;28;14
110;23;8;1978;27;34;14;28;38
111;30;8;1978;10;3;16;19;40
112;6;9;1978;18;32;12;11;34
113;13;9;1978;16;2;11;20;17
114;20;9;1978;27;12;32;34;6
115;27;9;1978;34;38;22;15;19
116;4;10;1978;16;42;26;38;9
117;11;10;1978;49;19;27;14;39
118;18;10;1978;27;40;26;43;37
119;25;10;1978;28;49;12;17;46
120;1;11;1978;9;3;33;48;32
121;8;11;1978;9;25;21;6;32
122;15;11;1978;2;45;37;24;27
123;22;11;1978;8;14;31;39;36
124;29;11;1978;11;39;43;29;16
125;6;12;1978;41;45;10;48;22
126;13;12;1978;9;36;11;45;39
127;20;12;1978;35;16;30;41;33
128;27;12;1978;32;29;33;45;6
129;3;1;1979;37;23;27;5;26
130;10;1;1979;37;23;5;26;27
131;17;1;1979;12;15;2;40;23
132;24;1;1979;32;22;25;41;23
133;31;1;1979;13;10;5;17;12
134;7;2;1979;9;38;40;34;32
135;14;2;1979;1;3;11;4;29
136;21;2;1979;11;5;16;42;9
137;28;2;1979;36;21;28;26;18
138;7;3;1979;36;2;20;28;1
139;14;3;1979;39;5;25;19;34
140;21;3;1979;28;13;21;12;27
141;28;3;1979;38;31;17;15;26
142;4;4;1979;29;42;37;8;20
143;11;4;1979;6;34;38;3;4
144;18;4;1979;3;31;32;40;28
145;25;4;1979;21;35;32;29;9
146;2;5;1979;28;36;41;38;37
147;9;5;1979;15;23;18;24;13
148;16;5;1979;42;3;20;34;26
149;23;5;1979;11;7;9;28;10
150;30;5;1979;29;38;19;39;25
151;6;6;1979;15;42;21;37;10
152;13;6;1979;26;3;42;35;34
153;20;6;1979;6;42;5;32;41
154;27;6;1979;12;3;32;22;41
155;4;7;1979;41;34;10;13;19
156;11;7;1979;10;30;14;4;32
157;18;7;1979;34;31;41;25;11
158;25;7;1979;9;31;36;1;13
159;1;8;1979;20;16;10;15;3
160;8;8;1979;23;20;36;26;11
161;15;8;1979;28;38;12;5;25
162;22;8;1979;27;28;25;14;29
163;29;8;1979;27;12;41;14;4
164;5;9;1979;31;26;40;15;24
165;12;9;1979;18;35;31;30;39
166;19;9;1979;6;9;38;34;37
167;26;9;1979;23;1;42;15;30
168;3;10;1979;5;16;35;26;4
169;10;10;1979;28;7;33;19;35
170;17;10;1979;41;15;7;11;28
171;24;10;1979;27;28;39;24;12
172;31;10;1979;5;17;6;8;20
173;7;11;1979;24;34;15;35;32
174;14;11;1979;11;32;13;41;19
175;21;11;1979;33;31;32;2;17
176;28;11;1979;41;34;21;22;40
177;5;12;1979;18;41;27;13;30
178;12;12;1979;19;10;30;28;25
179;19;12;1979;31;20;17;8;2
180;26;12;1979;27;26;23;40;35
181;2;1;1980;1;13;4;7;10
182;9;1;1980;14;27;24;25;32
183;16;1;1980;16;37;29;38;6
184;23;1;1980;28;42;25;2;10
185;30;1;1980;9;22;30;18;31
186;6;2;1980;15;36;20;19;27
187;13;2;1980;39;3;10;22;5
188;20;2;1980;20;38;33;13;23
189;27;2;1980;27;17;13;9;12
190;5;3;1980;19;20;7;23;39
191;12;3;1980;41;26;19;5;6
192;19;3;1980;24;39;28;11;9
193;26;3;1980;37;15;36;7;3
194;2;4;1980;9;3;8;4;24
195;9;4;1980;1;20;5;37;21
196;16;4;1980;20;1;19;12;8
197;23;4;1980;21;3;26;15;2
198;30;4;1980;31;11;26;5;35
199;7;5;1980;37;24;15;28;26
200;14;5;1980;3;33;37;28;19
201;21;5;1980;31;9;16;27;20
202;28;5;1980;3;35;11;17;40
203;4;6;1980;13;17;32;29;12
204;11;6;1980;36;25;5;38;32
205;18;6;1980;26;7;17;39;24
206;25;6;1980;19;34;2;41;25
207;2;7;1980;37;5;35;6;10
208;9;7;1980;24;31;42;35;39
209;16;7;1980;19;42;12;16;32
210;23;7;1980;39;11;41;22;36
211;30;7;1980;32;36;11;22;7
212;6;8;1980;27;12;41;28;36
213;13;8;1980;6;7;11;37;4
214;20;8;1980;24;26;28;41;5
215;27;8;1980;38;26;2;41;14
216;3;9;1980;40;23;6;29;35
217;10;9;1980;23;24;21;17;26
218;17;9;1980;39;3;25;17;5
219;24;9;1980;10;20;38;16;30
220;1;10;1980;17;10;1;9;40
221;8;10;1980;28;24;22;5;29
222;15;10;1980;18;29;2;23;12
223;22;10;1980;17;40;1;10;36
224;29;10;1980;9;30;1;3;32
225;5;11;1980;39;1;20;16;25
226;12;11;1980;21;12;7;5;40
227;19;11;1980;14;41;10;26;25
228;26;11;1980;6;13;23;9;37
229;3;12;1980;17;40;18;30;31
230;10;12;1980;18;12;4;3;6
231;17;12;1980;1;29;36;10;40
232;24;12;1980;24;12;17;22;4
233;31;12;1980;30;27;14;22;8
234;7;1;1981;38;36;18;13;3
235;14;1;1981;40;38;30;15;14
236;21;1;1981;42;38;26;23;6
237;28;1;1981;39;34;10;5;2
238;4;2;1981;40;26;17;10;5
239;11;2;1981;30;26;19;14;2
240;18;2;1981;32;31;23;14;10
241;25;2;1981;42;37;35;23;1
242;4;3;1981;41;27;20;12;9
243;11;3;1981;33;32;22;15;11
244;18;3;1981;35;26;24;9;6
245;25;3;1981;29;20;19;14;1
246;1;4;1981;42;41;34;26;12
247;8;4;1981;32;21;20;7;2
248;15;4;1981;33;30;28;19;16
249;22;4;1981;32;24;22;13;3
250;29;4;1981;36;29;18;10;2
251;6;5;1981;42;34;28;26;21
252;13;5;1981;40;36;30;13;3
253;20;5;1981;37;24;16;11;7
254;27;5;1981;38;22;21;11;10
255;3;6;1981;38;34;26;20;6
256;10;6;1981;30;27;24;5;3
257;17;6;1981;28;18;17;10;7
258;24;6;1981;40;34;23;7;2
259;1;7;1981;35;26;25;10;6
260;8;7;1981;29;27;25;7;5
261;15;7;1981;41;40;26;20;15
262;22;7;1981;35;34;31;13;4
263;29;7;1981;37;30;29;24;15
264;5;8;1981;36;30;8;5;1
265;12;8;1981;35;9;7;5;2
266;19;8;1981;40;34;23;20;5
